DEM2,EXP1,EXP1A,EXP2,EXP3,OIRA1A,OIRA1B,OIRA2A,OIRA2B,OIRA3A,OIRA3B,OIRA4A,OIRA4B,OIRA5A,OIRA5B,OIRB1A,OIRB1B,OIRB2A,OIRB2B,OIRB3A,OIRB3B,OIRB4A,OIRB4B,OIRB5A,OIRB5B,RFCA1A,RFCA2A,RFCA3A,RFCA4A,RFCA5A,RFCB1A,RFCB2A,RFCB3A,RFCB4A,RFCB5A,RFCC1A,RFCC2A,RFCC3A,RFCC4A,RFCC5A,RFCD1A,RFCD2A,RFCD3A,RFCD4A,RFCD5A
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,4,The user was confused by the device's response,2,The user did not understand the device,4,The user was confused by the device's response,4,The user was confused by the device's response,4,The user did not understand the device,4,The user was not able to hear the device,4,The user was confused by the device's response,4,The user was not able to hear the device,4,The user was confused by the device's response,4,The user was confused by the device's response,4,2,4,4,4,2,2,3,2,3,2,3,2,4,3,3,3,4,3,4
25-34 years old,Yes,Mobile phone,Yes,Yes,1,The user did not understand the device,3,The user was confused by the device's response,4,The user was not able to hear the device,3,The user was confused by the device's response,2,The user was confused by the device's response,2,The user was not able to hear the device,1,The user was confused by the device's response,5,The user did not understand the device,4,The user was not able to hear the device,2,The user did not understand the device,1,4,4,2,3,1,2,1,1,2,3,2,3,1,3,3,2,3,2,2
55-64 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,2,The user did not understand the device,3,The user was confused by the device's response,3,The user was confused by the device's response,4,"Other (if other, please describe):",4,The user was confused by the device's response,3,The user did not understand the device,3,"Other (if other, please describe):",3,The user was confused by the device's response,3,"Other (if other, please describe):",4,The user did not understand the device,1,1,4,4,4,2,1,2,2,3,1,1,3,3,3,1,1,2,3,1
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",Yes,No,4,The user was confused by the device's response,3,The user did not understand the device,1,"Other (if other, please describe):",4,The user was confused by the device's response,3,The user did not understand the device,2,"Other (if other, please describe):",4,The user did not understand the device,1,The user was confused by the device's response,4,The user was not able to hear the device,2,The user was confused by the device's response,1,2,2,4,2,1,2,1,2,1,1,3,5,4,5,2,2,1,1,1
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,5,The user was confused by the device's response,4,The user was confused by the device's response,5,The user was confused by the device's response,4,The user was confused by the device's response,4,The user was confused by the device's response,5,The user was not able to hear the device,4,The user was confused by the device's response,4,The user was confused by the device's response,4,The user was confused by the device's response,4,The user was confused by the device's response,4,4,5,5,5,4,4,2,4,2,4,4,4,4,2,3,2,4,2,2
25-34 years old,Yes,Mobile phone,No,Yes,3,The user was not able to hear the device,3,The user was not able to hear the device,4,The user was confused by the device's response,3,The user was not able to hear the device,3,The user was not able to hear the device,3,The user was not able to hear the device,3,The user was confused by the device's response,4,The user was confused by the device's response,3,The user was not able to hear the device,3,The user was not able to hear the device,3,4,5,5,5,3,3,3,3,3,2,4,4,5,4,3,4,4,4,4
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,2,The user did not understand the device,3,The user was confused by the device's response,3,The user was confused by the device's response,2,The user was confused by the device's response,3,The user was confused by the device's response,3,The user did not understand the device,4,The user was not able to hear the device,3,The user was confused by the device's response,3,The user was not able to hear the device,2,The user was confused by the device's response,3,4,4,3,4,4,3,2,3,3,3,2,4,4,3,2,3,3,2,2
25-34 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,4,The user was confused by the device's response,4,The user was confused by the device's response,4,The user was confused by the device's response,5,The user was confused by the device's response,2,"Other (if other, please describe):",4,The user did not understand the device,4,The user did not understand the device,4,"Other (if other, please describe):",5,The user did not understand the device,2,"Other (if other, please describe):",5,4,5,2,5,1,1,1,1,2,2,2,2,2,2,2,3,2,1,4
18-24 years old,Yes,Mobile phone,No,Yes,2,The user was not able to hear the device,2,The user did not understand the device,4,The user did not understand the device,5,The user was confused by the device's response,2,"Other (if other, please describe):",5,The user was not able to hear the device,4,The user was not able to hear the device,4,The user was not able to hear the device,4,The user was not able to hear the device,3,The user did not understand the device,1,1,5,5,5,1,2,1,2,1,1,1,1,2,3,1,1,1,2,1
25-34 years old,Yes,Mobile phone,No,Yes,3,The user was confused by the device's response,5,The user was not able to hear the device,4,The user was confused by the device's response,3,The user did not understand the device,4,The user was confused by the device's response,5,The user was confused by the device's response,4,The user was not able to hear the device,4,The user was not able to hear the device,2,The user was confused by the device's response,3,The user was confused by the device's response,4,4,5,5,5,1,3,3,2,2,2,1,5,3,1,1,5,4,4,3
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,4,The user was confused by the device's response,4,The user was confused by the device's response,4,The user was confused by the device's response,4,The user was confused by the device's response,4,The user was confused by the device's response,4,The user was not able to hear the device,4,The user was confused by the device's response,4,The user was confused by the device's response,4,The user was confused by the device's response,4,The user was confused by the device's response,5,5,5,5,5,4,2,4,2,3,4,4,4,5,5,4,4,5,5,5
55-64 years old,Yes,Mobile phone,No,No,3,The user was confused by the device's response,3,The user was confused by the device's response,4,The user was not able to hear the device,4,The user was confused by the device's response,3,The user was confused by the device's response,3,The user was not able to hear the device,3,The user was confused by the device's response,3,The user was confused by the device's response,3,The user was confused by the device's response,4,The user did not understand the device,3,3,4,4,4,3,3,4,3,4,4,2,4,4,4,4,3,4,4,4
55-64 years old,No,N/A,No,No,2,"Other (if other, please describe):",2,"Other (if other, please describe):",2,"Other (if other, please describe):",1,"Other (if other, please describe):",2,"Other (if other, please describe):",2,The user was confused by the device's response,2,"Other (if other, please describe):",2,"Other (if other, please describe):",2,"Other (if other, please describe):",2,The user was confused by the device's response,1,5,5,5,5,1,5,1,2,1,1,1,4,2,1,1,1,2,2,1
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,5,The user was not able to hear the device,4,The user did not understand the device,4,The user was confused by the device's response,5,The user was not able to hear the device,5,The user was confused by the device's response,5,The user was not able to hear the device,4,The user was not able to hear the device,4,The user was confused by the device's response,5,The user was not able to hear the device,4,The user was confused by the device's response,5,5,5,5,5,3,4,3,4,2,3,2,4,3,2,4,3,3,2,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,4,The user was not able to hear the device,4,The user was confused by the device's response,4,The user was confused by the device's response,4,The user was confused by the device's response,5,The user did not understand the device,4,The user was not able to hear the device,4,The user was not able to hear the device,4,The user was not able to hear the device,5,The user was not able to hear the device,5,The user was confused by the device's response,4,5,5,5,5,4,4,2,2,3,2,2,4,2,2,2,3,2,2,2
