DEM2,EXP1,EXP1A,EXP2,EXP3,Question,Scores
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRA,4
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRAB,3
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRA,2
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRAB,1
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRA,4
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRAB,3
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRA,4
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRAB,3
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRA,4
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRAB,1
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRB,4
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRBB,2
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRB,4
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRBB,3
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRB,4
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRBB,2
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRB,4
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRBB,3
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRB,4
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRBB,3
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCA,4
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCA,2
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCA,4
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCA,4
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCA,4
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCB,2
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCB,2
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCB,3
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCB,2
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCB,3
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCC,2
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCC,3
